"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",7.66391764865186e-11,3.99514449300753e-11,3.71671374232996e-11,1.15688144249522e-10,0,1.08500828691997e-10,5.29955431390524e-11,3.0292912622798e-10,1.63683256763451e-11
"Afghanistan",0.216739778339577,0.243041000972011,0.279204620751431,0.315754563673268,0.366232559680046,0.398975562602655,0.397627989775325,0.390770888645946,0.38233743598652
"Angola",0.206812549538754,0.208532395305543,0.21712192561202,0.241777533920624,0.329470768801217,0.33790032014461,0.315807903745469,0.293665589663438,0.273157729066278
"Anguilla",0,0,0,0,0,0,0,0,0
"Albania",0.0129568935732662,0.0128392283088953,0.0138509757559832,0.0151718335778606,0.0159802761557997,0.0100083536903638,0.00516945304474039,0.00822412152695832,0.0103207920694065
"Aland",0.000185177967150563,0.000209379597667536,0.000213614621316083,0.000191294058906499,0.000132885164933892,0.000122346932816167,0.000124196218005301,3.04224013234489e-05,2.5960813218262e-05
"Andorra",0.160762716270983,0.156473735906184,0.130431728437543,0.130779234692454,0.126491735130548,0.114591907709837,0.103944533318281,0.0917901860550046,0.0799551155418158
"United Arab Emirates",0.0223034517287478,0.0239254576598112,0.025153666587076,0.0266079465635409,0.03090413469706,0.0356624024276881,0.0387584466856818,0.0531686142629454,0.0551301578909504
"Argentina",0.103340592664778,0.179142510705172,0.238802341676904,0.28169104684123,0.35662220002523,0.352766918078568,0.338970595215334,0.340640306872205,0.368482699520725
"Armenia",0.0742149590460897,0.0773116844059027,0.0815637877623716,0.091785632265918,0.0998912031861171,0.101381321096291,0.100946540642949,0.116604989769541,0.163327009741972
"American Samoa",0,0,0,0,0,0,0,0,0
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0.00220844405703247,0.00199812938808464,0.00156537751539364,0.00156893813889709,0.00152514887735451,0.00193192773417029,0.00226304943272622,0.00266026722965762,0.00265861594600554
"Australia",0.097065735648198,0.157240266855177,0.237000827950925,0.32717521204138,0.431149831959234,0.47859068642933,0.470530600369912,0.457559578102886,0.419716074451351
"Austria",0.0918663624267516,0.091582035578806,0.0937976913059966,0.0877154245005629,0.0790767937044062,0.0729540672486282,0.06526388479336,0.063063593102415,0.0594547075034535
"Azerbaijan",0.240687212061859,0.249570492280984,0.251151447154037,0.241464702637017,0.193543715725051,0.164684892890069,0.166926824731008,0.184339591839493,0.18177805683856
"Burundi",0.00106429118843193,0.00110684042373587,0.000974164166473229,0.000776552569400727,0.000738119418487278,0.000830081571145944,0.000887170639875937,0.00081419835036462,0.000769309945667584
"Belgium",0.000198599529015749,0.000195524567463455,0.0002051893391773,0.00020951027664446,0.000173033697222152,0.000128052762630877,0.000129659768254313,0.000129529991830239,1.67261743129092e-05
"Benin",0.00508926986828017,0.00551142671430018,0.0046043503396514,0.0041518233814202,0.00350269293304515,0.0019964377504468,0.00139681664620391,0.00137640190029827,0.00139709322256788
"Burkina Faso",0.137482280061424,0.136814801390267,0.136918315846038,0.140407847467394,0.159489370766877,0.155700186641036,0.149783295537184,0.14777725805191,0.14766718253375
"Bangladesh",0.000393097313257742,0.000250089971656413,0.000245172976680636,0.000258288218007681,0.000309072954001743,0.000362957361695913,0.000362259909112991,0.000360787259114055,0.000184025800474653
"Bulgaria",0.00360550766218674,0.00392346730451396,0.00392483091189306,0.0038841985521572,0.00400575264731821,0.00473509618202429,0.00624425359006042,0.00651481005858874,0.00702601619800363
"Bahrain",0.0249177124351263,0.0247608795762062,0.0257267840206623,0.0254434961825609,0.020169647410512,0.0160259138792753,0.0160253550857306,0.0160246342420578,0.0160241052508354
"The Bahamas",0.00108011863707553,0.00104255575570278,0.00103684594566738,0.000894572543314241,0.000513613902416852,0.000242413343968158,0.000514158320472927,0.000480725577826259,0.000462105361607253
"Bosnia and Herzegovina",0.0225857782338259,0.0227031814196388,0.0229479190499756,0.0254326628994291,0.0274178493380199,0.0294983095586734,0.0304713815049495,0.0275051737054807,0.0313028663347149
"Bajo Nuevo Bank (Petrel Is.)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",0.00369080136487628,0.00363990350431971,0.0038045296931554,0.00397148576241004,0.00375949660034014,0.00347425833276525,0.00404369238362725,0.00624774236658572,0.0105903923263821
"Belize",0.00545113868109624,0.00603376114894204,0.00653102083560952,0.00728553254625832,0.00834430794854294,0.00870663308263498,0.00917203502965756,0.00722405466733493,0.00833494068281266
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",0.132644873378949,0.139303676003937,0.197495825593205,0.22701839277195,0.206112667410736,0.22644518533722,0.251065331764936,0.259680928722613,0.252033794919183
"Brazil",0.0253336126946706,0.0353194482385828,0.0496072855369449,0.0783572767579904,0.0996072347086724,0.125134521181584,0.146103365540341,0.160080706473748,0.161677644106335
"Barbados",0,1.89781926285271e-10,0,9.60949445016901e-11,8.68317862057211e-10,7.06103009395775e-10,4.40994823991403e-10,0,0
"Brunei",0.000690719021406494,0.00072884671183715,0.000811143368366629,0.000547289091855419,0.000532892954488773,0.000898758686090431,0.000906373966075364,0.000664520111283713,0.000474675274456065
"Bhutan",0.0196423736739173,0.0220463729399129,0.0274623278354569,0.0330093636985112,0.0402450890999851,0.0458680560662219,0.0490518794743882,0.0650903193458559,0.0658487121730516
"Botswana",0.205597407684799,0.21065725363431,0.224293025470422,0.260630295417767,0.401050229147069,0.44218624148142,0.442180092480209,0.442429936196932,0.442539569310647
"Central African Republic",0.0191377780226865,0.0206475600809747,0.023117886642935,0.0281423463839621,0.0419652982142121,0.0427043419126637,0.0393692283650833,0.0376175231422133,0.0361588695219586
"Canada",0.00295670460890542,0.00410089187976603,0.00759270407200034,0.0108915892402693,0.0114527673365989,0.0112892626249655,0.0110704664820686,0.0107801663999658,0.00995857046058451
"Switzerland",0.126134570008433,0.143811209834383,0.135479708187941,0.122944765225622,0.116564448355039,0.117154646599394,0.104830490271849,0.0791662941204318,0.0733052066342123
"Chile",0.03777746753106,0.0451986999301168,0.0535884849056965,0.0662819872119143,0.0890410148214225,0.114633988090825,0.134240711744712,0.134398043960965,0.144516227925749
"China",0.150185244170016,0.154548043693372,0.164248110434732,0.165820257838426,0.174593333077905,0.214211396337515,0.282094271402218,0.306413852789209,0.306297441587475
"Ivory Coast",0.132022521147833,0.135407666919528,0.140764597158148,0.151327029650841,0.173322143472257,0.137632859409529,0.0766771300111648,0.0483715216744881,0.0400903023161374
"Clipperton Island",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",0.0595822076066357,0.0603491159735624,0.0608900181900489,0.0614057247122994,0.0479725273215389,0.0219491262476891,0.0170816465044906,0.0127330636541587,0.0110138422064055
"Cyprus No Mans Area",0.00309739013512929,0.0033831565718477,0.00363277307608061,0.00359302524399633,0.00301869111394303,0.0019433923848232,0.00194276403312364,0.000551193273471048,0.00143605912227132
"Democratic Republic of the Congo",0.0413805735810244,0.0399832734112487,0.0384591846169332,0.0367814167317001,0.0356653502229267,0.0280022249760787,0.0213199658085708,0.0197428463266787,0.015777325467452
"Republic of Congo",0.143892925906322,0.148213630963517,0.156390035272987,0.173359131324523,0.22513975318601,0.231548809305882,0.211640790969285,0.203216931318246,0.186064165996044
"Cook Islands",0,0,0,0,0,0,0,0,0
"Colombia",0.112750547295383,0.121102516964611,0.128390440207882,0.141958285565534,0.157125610545563,0.171634341034768,0.171787915887118,0.162594866752373,0.152843332230736
"Comoros",1.40546446873111e-14,0,1.40546446873111e-14,0,1.40546446873111e-14,0,1.40546446873111e-14,0.000980964163318276,1.78117880579413e-10
