"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0,0,0,0,0,0,0,0,0
"Afghanistan",0.56573025313342,0.533445898164866,0.488688250661537,0.443188043667288,0.380095538210444,0.330824968650942,0.327079937300123,0.324943544183933,0.288112731941637
"Angola",0.514858997025956,0.511340299061873,0.501485614677679,0.47454720161476,0.37437159896953,0.348318345951846,0.347706109717582,0.347393007748397,0.33007603895265
"Anguilla",0,0,0,0,0,0,0,0,0
"Albania",0.0894654745958289,0.0865246312958854,0.0847079870956285,0.0822554916447523,0.0754294702593161,0.068724981148024,0.0683257912798804,0.0676520315512102,0.0554698326301818
"Aland",0.363726243376732,0.345101535320282,0.335455000400543,0.332725659012794,0.331796988844872,0.327358156442642,0.32688570022583,0.32688570022583,0.322423353791237
"Andorra",0.0633812788799747,0.0633812788799747,0.0633812788799747,0.0633812788799747,0.0593732360676273,0.0574206653908237,0.0574206653908237,0.0574206653908237,0.0572948817089542
"United Arab Emirates",0.277833970474828,0.274420103307852,0.271880366292196,0.270042912400875,0.268321110262084,0.266973270544994,0.264810685798065,0.251925949045678,0.245339853765885
"Argentina",0.823540150869157,0.730334905957944,0.633454185783401,0.563901216593976,0.486525003718269,0.408317098538507,0.404718585897403,0.34019005138627,0.265778377922768
"Armenia",0.493084667107234,0.483778373266642,0.47466350461428,0.43545539275958,0.407120156460083,0.369922553260739,0.363510344607326,0.353783650323749,0.269542381024131
"American Samoa",0,0,0,0,0,0,0,0,0
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0
"Australia",0.857064360150367,0.794055953674154,0.708722454114786,0.611581328489635,0.495402681561085,0.426258010990244,0.422673949418195,0.421971690888579,0.414781147542469
"Austria",0.0626850944925247,0.0613285955301893,0.0612524084908019,0.061237549943959,0.0611742275266284,0.0610492009828485,0.0610286381445631,0.0609978901715612,0.0609162990502871
"Azerbaijan",0.302672355808318,0.282843597702168,0.269341139566025,0.263925877303399,0.260389222516197,0.253399600942844,0.248809249822757,0.243465974549602,0.237569933631136
"Burundi",0.258591117227779,0.249673601020785,0.232793944723466,0.19553043737131,0.071583631914109,0,0,0,0
"Belgium",6.90648427536623e-10,6.90648427536623e-10,6.90648427536623e-10,6.90648427536623e-10,6.90648427536623e-10,6.90648427536623e-10,6.90648427536623e-10,6.90648427536623e-10,6.90648427536623e-10
"Benin",0.101499337831852,0.100511918535585,0.0978384173984797,0.0918853088463627,0.0794656818861482,0.0631789660561572,0.0511769384216025,0.0382032166103358,0.0163637755482984
"Burkina Faso",0.327496247561597,0.322146603292194,0.315484024131496,0.297647157797168,0.250676208273482,0.204922466935044,0.154052210879095,0.104454720259042,0.0548164793335317
"Bangladesh",0.000103827695484014,0.000100137612074176,9.6578097193996e-05,8.90489766684481e-05,8.04298661197048e-05,7.27472124835013e-05,4.11243765792449e-12,4.11243765792449e-12,4.11243765792449e-12
