"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0.00154017781217893,0.00173622788861394,0.00193122758840521,0.00520704407244921,0.00765303522348404,0.00883163201312224,0.00883200454215209,0.00883218459784985,0.00883219329019388
"Afghanistan",0.0286710786555971,0.0332023600957447,0.0398363591423937,0.0468224668354317,0.0566843591265745,0.0665713865306537,0.0680578662671502,0.0756967671988276,0.0828877636096575
"Angola",0.00978336897274357,0.0122010633673373,0.0163663322500561,0.0270014963768044,0.0686251750216585,0.0890512817689848,0.111157469250036,0.133411927597422,0.153934632711326
"Anguilla",0,0,0,0,0,0,0,0,0
"Albania",0.112802568956145,0.128008494267658,0.136878828385047,0.148977919405668,0.191329461807499,0.196022059388307,0.131109033388143,0.132587505979654,0.151250128178116
"Aland",0.0327152633108199,0.0369893470779061,0.0377355429809541,0.0337903699837625,0.0234723114408553,0.0216090062167495,0.0219341672491282,0.00537284940946847,0.00458440522197634
"Andorra",0.0572273023426533,0.0406044829636812,0.0307638331782073,0.0289887878112495,0.0536037261132151,0.0915964788291603,0.0897794026881456,0.065120035642758,0.0654734818264842
"United Arab Emirates",0,0,0,0,0,0,0,0,0
"Argentina",0.00372433116017313,0.00947828194346912,0.0178541383649356,0.025426707040408,0.0339299867866626,0.0359365338566337,0.0381375844105967,0.0287331804169278,0.0243583982139496
"Armenia",0.0691237597224804,0.0743317618392981,0.0782263463076491,0.100478158045847,0.114664572577637,0.149102875246451,0.157979354763833,0.170880129990669,0.217672574835328
"American Samoa",0,0,0,0,0,0,0,0,0
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0.00897310345317237,0.00812713883351535,0.0063736336742295,0.00639491459878627,0.00622273499902803,0.00789116925443523,0.00925367942545563,0.0108888178947382,0.0108904642984271
"Australia",0.000676082876007619,0.00127967711464948,0.00228739351970215,0.00336838414158499,0.00545860605038168,0.00746693868918215,0.00743106316604551,0.00685579476708792,0.00602547285891908
"Austria",0.207726236343241,0.210392391855399,0.205321861813084,0.19525672800433,0.190576815840382,0.187845500114446,0.17098735870483,0.161366401962602,0.144197901373562
"Azerbaijan",0.139217592313372,0.145894548329043,0.147612602758253,0.142464169134097,0.118686072855931,0.111302952333514,0.118124907354599,0.130701232836421,0.128875731368517
"Burundi",0.0964943590455839,0.10393869930693,0.116419280765352,0.140587744963715,0.212267360376085,0.238976626547382,0.306026655961485,0.203222945003825,0.169907264301882
"Belgium",0.23221182436794,0.202060885394709,0.271561969736857,0.325651269110422,0.220578191639294,0.172511692218009,0.170884431029359,0.169145297000392,0.167788260712451
"Benin",0.0187761411853647,0.0189231552761346,0.0257405542881441,0.034327627660368,0.0455956403747389,0.0506247033897852,0.0530026407092272,0.0568270277350544,0.0569701893451886
"Burkina Faso",0.0301256025205521,0.031652636463964,0.034975859596379,0.0422364543678894,0.0616378349776879,0.0710473823469153,0.0770841089401456,0.0801133137950108,0.0808191026087583
"Bangladesh",0.0220278571320488,0.0239120033236375,0.0258731674158897,0.0280303239717282,0.0333146204838973,0.0386516810311131,0.0385558287159346,0.0384815511679147,0.0386069154758471
