,1895,1910,1925,1940,1955,1970,1985,2000,2015
Aruba,0,0,0,0,0,0,0,0,0
Afghanistan,0.002935737,0.002721458,0.002552007,0.002414641,0.002281109,0.002157497,0.002145482,0.002108377,0.00208264
Angola,0.142119442,0.141443914,0.139737782,0.135332323,0.118813781,0.114231486,0.112965297,0.111357746,0.107538536
Anguilla,0,0,0,0,0,0,0,0,0
Albania,0.271266009,0.247832073,0.227232174,0.206874335,0.173844046,0.140993474,0.117062633,0.10187288,0.089576088
Aland,0,0,0,0,0,0,0,0,0
Andorra,0.002522448,0.002124703,0.001904116,0.001640482,0.001301564,0.00094099,0.000720586,0.000520233,0.000393184
United Arab Emirates,0,0,0,0,0,0,0,0,0
Argentina,0.041351987,0.037758618,0.034192299,0.031027527,0.027470433,0.022512611,0.020995972,0.018851097,0.015672106
Armenia,0.021700103,0.015841661,0.013125676,0.011380872,0.010357529,0.008960229,0.008769504,0.008404469,0.005155883
American Samoa,0,0,0,0,0,0,0,0,0
Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashmore and Cartier Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Australia,0.029557642,0.028018796,0.025888853,0.023408783,0.019754858,0.016381369,0.015251671,0.013908056,0.011829995
Austria,0.001367298,0.001095079,0.000838625,0.000595509,0.00038249,0.000221263,0.000117332,5.59E-05,2.16E-05
Azerbaijan,0.010532296,0.007282105,0.006378284,0.006160177,0.00607279,0.005908359,0.005800862,0.005657566,0.005471871
Burundi,0.232749701,0.222219709,0.207275839,0.174249859,0.063309165,0.010065119,0,0,0
Belgium,2.37E-10,2.37E-10,2.37E-10,2.37E-10,2.37E-10,2.37E-10,2.37E-10,2.37E-10,2.37E-10
Benin,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0
Bangladesh,0.038758879,0.02844175,0.017686898,0.011558353,0.009596161,0.0067496,0.000420619,4.92E-12,4.92E-12
Bulgaria,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0
The Bahamas,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0.184971714,0.144786768,0.1005313,0.062004756,0.033557646,0.018799254,0.014055177,0.011381038,0.008029546
Bajo Nuevo Bank (Petrel Is.),NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,0.014886878,0.010616018,0.008432133,0.006338982,0.004551096,0.003363549,0.002202784,0.001344691,0.000603324
Belize,0.577278757,0.575606344,0.573584345,0.569931632,0.563935558,0.558714433,0.550033474,0.524940592,0.49133757
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,0.330754545,0.32742536,0.314710016,0.308225352,0.304262127,0.299067408,0.293048022,0.28865048,0.285275449
Brazil,0.726957796,0.715993001,0.692066841,0.656001115,0.625699314,0.569006353,0.519927609,0.485407506,0.457792576
Barbados,0,0,0,0,0,0,0,0,0
Brunei,0.793183103,0.786334075,0.774789304,0.759263709,0.742140412,0.71861016,0.687349521,0.643967323,0.609122947
Bhutan,0.86080565,0.847593257,0.829959285,0.799081453,0.740327667,0.640991525,0.52866145,0.42818858,0.330327602
Botswana,0,0,0,0,0,0,0,0,0
Central African Republic,0.398686195,0.39708484,0.39432489,0.388280194,0.36962903,0.36440216,0.360575671,0.356404647,0.352983431
Canada,0.487566901,0.483511316,0.476414627,0.467896023,0.45943185,0.451648168,0.442423116,0.430187315,0.418030322
Switzerland,1.61E-09,1.21E-09,1.21E-09,1.21E-09,1.21E-09,1.21E-09,1.21E-09,1.21E-09,1.21E-09
Chile,0.267285957,0.255539233,0.240103826,0.222875909,0.203980743,0.189472994,0.178641057,0.163873972,0.134683661
China,0.190017906,0.183874136,0.174453619,0.1664593,0.154959081,0.131845264,0.096964573,0.075709712,0.066582993
Ivory Coast,0.15914192,0.156464435,0.152367703,0.143608901,0.110721451,0.075504593,0.044800463,0.023437363,0.008009009
Clipperton Island,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,0.588920826,0.585434695,0.579995051,0.567717203,0.535155215,0.518717802,0.497494765,0.485484581,0.468377361
Cyprus No Mans Area,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,0.631941144,0.631305917,0.630343428,0.627335597,0.611743097,0.597713077,0.590020853,0.572911438,0.554875749
Republic of Congo,0.783339962,0.778310027,0.769063975,0.748995321,0.680517465,0.649398493,0.646655429,0.642446755,0.634833642
Cook Islands,0,0,0,0,0,0,0,0,0
Colombia,0.633443918,0.617753289,0.598180703,0.577266899,0.551083626,0.520457106,0.505452533,0.501619887,0.492603414
Comoros,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0
Costa Rica,0.659680171,0.641058618,0.618046393,0.574069926,0.448910398,0.35900027,0.275847734,0.245886507,0.209908118
Coral Sea Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,0.077146161,0.072492257,0.063947805,0.055056374,0.04298754,0.029059987,0.01668997,0.005930492,0.001418282
Curaçao,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0
Northern Cyprus,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0
Czech Republic,1.30E-08,1.73E-11,1.38E-16,0,0,0,0,0,0
Germany,1.22E-10,1.22E-10,1.22E-10,1.22E-10,1.22E-10,1.22E-10,1.22E-10,1.22E-10,1.22E-10
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0
Denmark,2.47E-05,7.48E-06,7.60E-07,5.63E-10,5.63E-10,5.63E-10,5.63E-10,5.63E-10,5.63E-10
Dominican Republic,0.584005148,0.557925473,0.515124132,0.467009777,0.37116179,0.298973496,0.252247681,0.246769541,0.229842418
Algeria,0,0,0,0,0,0,0,0,0
Ecuador,0.629473798,0.61764266,0.607632562,0.572334629,0.541995222,0.521332176,0.488651367,0.464752918,0.451127013
Egypt,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Dhekelia Sovereign Base Area,0,0,0,0,0,0,0,0,0
Spain,0.001182099,0.000998652,0.000869303,0.000721876,0.000572541,0.000427968,0.000335061,0.000248619,0.000179203
Estonia,0.006327504,0.004720387,0.003889608,0.003055305,0.002258915,0.001695924,0.001132461,0.000706057,0.000351812
Ethiopia,0.110960462,0.099072606,0.089031641,0.078774318,0.059681621,0.031700305,0.008233571,4.63E-11,4.63E-11
Finland,0.247821606,0.171340351,0.058325293,0.023512715,0.021873983,0.018933721,0.017927326,0.017179749,0.016640147
Fiji,0.609672613,0.605820489,0.5999858,0.586924977,0.564105217,0.54777196,0.503455131,0.465573716,0.452099859
Falkland Islands,0,0,0,0,0,0,0,0,0
France,0.094186731,0.094169624,0.094152377,0.094121745,0.094072486,0.093996459,0.09381099,0.093577034,0.093411153
Faroe Islands,0,0,0,0,0,0,0,0,0
Federated States of Micronesia,0,0,0,0,0,0,0,0,0
Gabon,0.863021716,0.856114868,0.845420144,0.825478125,0.779985871,0.770895482,0.764295494,0.760256184,0.753202831
United Kingdom,4.05E-10,4.05E-10,4.05E-10,4.05E-10,4.05E-10,4.05E-10,4.05E-10,4.05E-10,4.05E-10
Georgia,0.018136991,0.010533131,0.008306054,0.004092678,0.003548756,0.003403925,0.003268424,0.003139229,0.003042492
Guernsey,0,0,0,0,0,0,0,0,0
Ghana,0.001667006,0.001645415,0.001614497,0.001546785,0.001343705,0.001084711,0.000758976,0.000428887,6.35E-05
Gibraltar,0,0,0,0,0,0,0,0,0
Guinea,0.474467013,0.466968051,0.454955433,0.431425536,0.36343832,0.222472895,0.182302764,0.162197715,0.126959667
Gambia,0,0,0,0,0,0,0,0,0
Guinea Bissau,0.246283594,0.241963781,0.234749887,0.219240468,0.169862849,0.154915064,0.137852993,0.108304878,0.07876729
Equatorial Guinea,0.703051333,0.693399277,0.685476292,0.675476012,0.659328252,0.637742926,0.626735038,0.615523369,0.601311421
Greece,5.01E-06,3.11E-07,9.15E-11,1.63E-12,1.63E-12,1.63E-12,1.63E-12,1.63E-12,1.63E-12
Grenada,0,0,0,0,0,0,0,0,0
Greenland,0.028497632,0.028497441,0.028497388,0.028497388,0.028497388,0.028497388,0.028497388,0.028497388,0.028497317
